1730082281.286529 client started (5295): version 3.3a, socket /private/tmp/tmux-501/default, protocol 8
1730082281.286608 on Darwin 22.6.0 Darwin Kernel Version 22.6.0: Fri Sep 15 13:41:30 PDT 2023; root:xnu-8796.141.3.700.8~1/RELEASE_ARM64_T8103
1730082281.287110 using libevent 2.1.12-stable (select); utf8proc 2.9.0; ncurses 6.4
1730082281.291787 sending message 112 to peer 0x130048000 (12 bytes)
1730082281.291793 sending message 112 to peer 0x130048000 (12 bytes)
1730082281.291799 sending message 112 to peer 0x130048000 (13 bytes)
1730082281.291805 sending message 112 to peer 0x130048000 (8 bytes)
1730082281.291811 sending message 112 to peer 0x130048000 (13 bytes)
1730082281.291817 sending message 112 to peer 0x130048000 (13 bytes)
1730082281.291823 sending message 112 to peer 0x130048000 (13 bytes)
1730082281.291829 sending message 112 to peer 0x130048000 (13 bytes)
1730082281.291835 sending message 112 to peer 0x130048000 (13 bytes)
1730082281.291841 sending message 112 to peer 0x130048000 (13 bytes)
1730082281.291847 sending message 112 to peer 0x130048000 (13 bytes)
1730082281.291852 sending message 112 to peer 0x130048000 (12 bytes)
1730082281.291858 sending message 112 to peer 0x130048000 (12 bytes)
1730082281.291864 sending message 112 to peer 0x130048000 (12 bytes)
1730082281.291870 sending message 112 to peer 0x130048000 (8 bytes)
1730082281.291876 sending message 112 to peer 0x130048000 (12 bytes)
1730082281.291882 sending message 112 to peer 0x130048000 (13 bytes)
1730082281.291888 sending message 112 to peer 0x130048000 (13 bytes)
1730082281.291894 sending message 112 to peer 0x130048000 (13 bytes)
1730082281.291900 sending message 112 to peer 0x130048000 (13 bytes)
1730082281.291906 sending message 112 to peer 0x130048000 (13 bytes)
1730082281.291924 sending message 112 to peer 0x130048000 (13 bytes)
1730082281.291930 sending message 112 to peer 0x130048000 (13 bytes)
1730082281.291936 sending message 112 to peer 0x130048000 (13 bytes)
1730082281.291942 sending message 112 to peer 0x130048000 (12 bytes)
1730082281.291948 sending message 112 to peer 0x130048000 (10 bytes)
1730082281.291954 sending message 112 to peer 0x130048000 (12 bytes)
1730082281.291960 sending message 112 to peer 0x130048000 (12 bytes)
1730082281.291966 sending message 112 to peer 0x130048000 (12 bytes)
1730082281.291972 sending message 112 to peer 0x130048000 (13 bytes)
1730082281.291978 sending message 112 to peer 0x130048000 (13 bytes)
1730082281.291984 sending message 112 to peer 0x130048000 (13 bytes)
1730082281.291990 sending message 112 to peer 0x130048000 (13 bytes)
1730082281.291996 sending message 112 to peer 0x130048000 (13 bytes)
1730082281.292002 sending message 112 to peer 0x130048000 (13 bytes)
1730082281.292008 sending message 112 to peer 0x130048000 (13 bytes)
1730082281.292014 sending message 112 to peer 0x130048000 (10 bytes)
1730082281.292019 sending message 112 to peer 0x130048000 (13 bytes)
1730082281.292025 sending message 112 to peer 0x130048000 (12 bytes)
1730082281.292031 sending message 112 to peer 0x130048000 (12 bytes)
1730082281.292037 sending message 112 to peer 0x130048000 (12 bytes)
1730082281.292043 sending message 112 to peer 0x130048000 (10 bytes)
1730082281.292049 sending message 112 to peer 0x130048000 (10 bytes)
1730082281.292055 sending message 112 to peer 0x130048000 (10 bytes)
1730082281.292061 sending message 112 to peer 0x130048000 (12 bytes)
1730082281.292067 sending message 112 to peer 0x130048000 (13 bytes)
1730082281.292073 sending message 112 to peer 0x130048000 (13 bytes)
1730082281.292079 sending message 112 to peer 0x130048000 (13 bytes)
1730082281.292085 sending message 112 to peer 0x130048000 (13 bytes)
1730082281.292090 sending message 112 to peer 0x130048000 (13 bytes)
1730082281.292096 sending message 112 to peer 0x130048000 (10 bytes)
1730082281.292102 sending message 112 to peer 0x130048000 (11 bytes)
1730082281.292108 sending message 112 to peer 0x130048000 (12 bytes)
1730082281.292114 sending message 112 to peer 0x130048000 (12 bytes)
1730082281.292120 sending message 112 to peer 0x130048000 (12 bytes)
1730082281.292126 sending message 112 to peer 0x130048000 (12 bytes)
1730082281.292132 sending message 112 to peer 0x130048000 (12 bytes)
1730082281.292138 sending message 112 to peer 0x130048000 (11 bytes)
1730082281.292144 sending message 112 to peer 0x130048000 (12 bytes)
1730082281.292150 sending message 112 to peer 0x130048000 (12 bytes)
1730082281.292156 sending message 112 to peer 0x130048000 (13 bytes)
1730082281.292162 sending message 112 to peer 0x130048000 (13 bytes)
1730082281.292168 sending message 112 to peer 0x130048000 (13 bytes)
1730082281.292174 sending message 112 to peer 0x130048000 (13 bytes)
1730082281.292180 sending message 112 to peer 0x130048000 (13 bytes)
1730082281.292186 sending message 112 to peer 0x130048000 (10 bytes)
1730082281.292192 sending message 112 to peer 0x130048000 (9 bytes)
1730082281.292198 sending message 112 to peer 0x130048000 (12 bytes)
1730082281.292204 sending message 112 to peer 0x130048000 (13 bytes)
1730082281.292209 sending message 112 to peer 0x130048000 (13 bytes)
1730082281.292215 sending message 112 to peer 0x130048000 (13 bytes)
1730082281.292221 sending message 112 to peer 0x130048000 (13 bytes)
1730082281.292227 sending message 112 to peer 0x130048000 (13 bytes)
1730082281.292233 sending message 112 to peer 0x130048000 (9 bytes)
1730082281.292239 sending message 112 to peer 0x130048000 (12 bytes)
1730082281.292245 sending message 112 to peer 0x130048000 (13 bytes)
1730082281.292251 sending message 112 to peer 0x130048000 (13 bytes)
1730082281.292257 sending message 112 to peer 0x130048000 (13 bytes)
1730082281.292263 sending message 112 to peer 0x130048000 (13 bytes)
1730082281.292269 sending message 112 to peer 0x130048000 (13 bytes)
1730082281.292275 sending message 112 to peer 0x130048000 (11 bytes)
1730082281.292290 sending message 112 to peer 0x130048000 (12 bytes)
1730082281.292296 sending message 112 to peer 0x130048000 (13 bytes)
1730082281.292302 sending message 112 to peer 0x130048000 (13 bytes)
1730082281.292308 sending message 112 to peer 0x130048000 (13 bytes)
1730082281.292314 sending message 112 to peer 0x130048000 (13 bytes)
1730082281.292320 sending message 112 to peer 0x130048000 (13 bytes)
1730082281.292326 sending message 112 to peer 0x130048000 (11 bytes)
1730082281.292332 sending message 112 to peer 0x130048000 (12 bytes)
1730082281.292338 sending message 112 to peer 0x130048000 (12 bytes)
1730082281.292344 sending message 112 to peer 0x130048000 (12 bytes)
1730082281.292350 sending message 112 to peer 0x130048000 (12 bytes)
1730082281.292356 sending message 112 to peer 0x130048000 (12 bytes)
1730082281.292362 sending message 112 to peer 0x130048000 (21 bytes)
1730082281.292368 sending message 112 to peer 0x130048000 (12 bytes)
1730082281.292374 sending message 112 to peer 0x130048000 (9 bytes)
1730082281.292380 sending message 112 to peer 0x130048000 (6 bytes)
1730082281.292386 sending message 112 to peer 0x130048000 (13 bytes)
1730082281.292392 sending message 112 to peer 0x130048000 (10 bytes)
1730082281.292398 sending message 112 to peer 0x130048000 (24 bytes)
1730082281.292404 sending message 112 to peer 0x130048000 (13 bytes)
1730082281.292410 sending message 112 to peer 0x130048000 (9 bytes)
1730082281.292416 sending message 112 to peer 0x130048000 (70 bytes)
1730082281.292422 sending message 112 to peer 0x130048000 (69 bytes)
1730082281.292428 sending message 112 to peer 0x130048000 (12 bytes)
1730082281.292434 sending message 112 to peer 0x130048000 (10 bytes)
1730082281.292439 sending message 112 to peer 0x130048000 (10 bytes)
1730082281.292446 sending message 112 to peer 0x130048000 (24 bytes)
1730082281.292452 sending message 112 to peer 0x130048000 (13 bytes)
1730082281.292457 sending message 112 to peer 0x130048000 (10 bytes)
1730082281.292463 sending message 112 to peer 0x130048000 (10 bytes)
1730082281.292470 sending message 112 to peer 0x130048000 (10 bytes)
1730082281.292475 sending message 112 to peer 0x130048000 (13 bytes)
1730082281.292481 sending message 112 to peer 0x130048000 (15 bytes)
1730082281.292487 sending message 112 to peer 0x130048000 (5 bytes)
1730082281.292496 sending message 104 to peer 0x130048000 (0 bytes)
1730082281.292503 sending message 110 to peer 0x130048000 (0 bytes)
1730082281.292510 sending message 107 to peer 0x130048000 (4 bytes)
1730082281.292516 sending message 105 to peer 0x130048000 (82 bytes)
1730082281.292522 sending message 105 to peer 0x130048000 (86 bytes)
1730082281.292528 sending message 105 to peer 0x130048000 (31 bytes)
1730082281.292534 sending message 105 to peer 0x130048000 (35 bytes)
1730082281.292540 sending message 105 to peer 0x130048000 (20 bytes)
1730082281.292546 sending message 105 to peer 0x130048000 (22 bytes)
1730082281.292552 sending message 105 to peer 0x130048000 (21 bytes)
1730082281.292558 sending message 105 to peer 0x130048000 (69 bytes)
1730082281.292564 sending message 105 to peer 0x130048000 (32 bytes)
1730082281.292570 sending message 105 to peer 0x130048000 (17 bytes)
1730082281.292576 sending message 105 to peer 0x130048000 (32 bytes)
1730082281.292583 sending message 105 to peer 0x130048000 (774 bytes)
1730082281.292589 sending message 105 to peer 0x130048000 (29 bytes)
1730082281.292595 sending message 105 to peer 0x130048000 (15 bytes)
1730082281.292601 sending message 105 to peer 0x130048000 (8 bytes)
1730082281.292607 sending message 105 to peer 0x130048000 (66 bytes)
1730082281.292613 sending message 105 to peer 0x130048000 (20 bytes)
1730082281.292619 sending message 105 to peer 0x130048000 (18 bytes)
1730082281.292625 sending message 105 to peer 0x130048000 (26 bytes)
1730082281.292631 sending message 105 to peer 0x130048000 (57 bytes)
1730082281.292637 sending message 105 to peer 0x130048000 (42 bytes)
1730082281.292643 sending message 105 to peer 0x130048000 (13 bytes)
1730082281.292665 sending message 105 to peer 0x130048000 (63 bytes)
1730082281.292672 sending message 105 to peer 0x130048000 (14 bytes)
1730082281.292678 sending message 105 to peer 0x130048000 (20 bytes)
1730082281.292684 sending message 105 to peer 0x130048000 (14 bytes)
1730082281.292690 sending message 105 to peer 0x130048000 (19 bytes)
1730082281.292696 sending message 105 to peer 0x130048000 (35 bytes)
1730082281.292702 sending message 105 to peer 0x130048000 (38 bytes)
1730082281.292708 sending message 105 to peer 0x130048000 (17 bytes)
1730082281.292714 sending message 105 to peer 0x130048000 (19 bytes)
1730082281.292720 sending message 105 to peer 0x130048000 (25 bytes)
1730082281.292726 sending message 106 to peer 0x130048000 (0 bytes)
1730082281.292835 sending message 200 to peer 0x130048000 (4 bytes)
1730082281.292844 client loop enter
1730082281.293087 peer 0x130048000 message 303
1730082281.293096 open write file 2 -
1730082281.293109 sending message 305 to peer 0x130048000 (8 bytes)
1730082281.293125 write check file 2
1730082281.293156 peer 0x130048000 message 304
1730082281.293162 write 58 to file 2
1730082281.293168 peer 0x130048000 message 203
1730082281.293174 file 2 58 bytes left
1730082281.293189 write check file 2
1730082281.293194 client loop exit
